"state","law_strength","avg_mort_rate"
"AK","5",23.82
"AL","5",25.35
"AR","5",22.02
"AZ","5",20.4
"CA","1",9.03
"CO","2",17.6
"CT","1",7.03
"DC","1",25.88
"DE","2",13.62
"FL","3",14.47
"GA","5",20.23
"HI","1",4.6
"IA","5",11.2
"ID","5",17
"IL","1",14.97
"IN","5",18.02
"KS","5",17.6
"KY","5",19.4
"LA","5",28.2
"MA","1",3.8
"MD","1",13.85
"ME","5",12.43
"MI","3",15.3
"MN","3",10.15
"MO","5",23.73
"MS","5",30.17
"MT","5",24.52
"NC","3",17.25
"ND","5",15.97
"NE","3",11.7
"NH","5",9.88
"NJ","1",5.32
"NM","3",27.42
"NV","3",19.42
"NY","1",5.47
"OH","5",16
"OK","5",20.02
"OR","2",15.62
"PA","2",15.28
"RI","2",4.3
"SC","5",21.3
"SD","5",15.43
"TN","5",21.9
"TX","5",15.82
"UT","5",12.75
"VA","2",15.15
"VT","3",13.4
"WA","2",12.8
"WI","4",14.43
"WV","5",17.68
"WY","5",24.83
