"state","total_billions","total_population","funding_per_capita","abbriv"
"Alabama",3,5024294,597.0988162715,"AL"
"Alaska",3.7,733374,5045.17476758107,"AK"
"American Samoa",0.0686,49710,1380.00402333534,"AS"
"Arizona",3.5,7157902,488.970092074465,"AZ"
"Arkansas",2.8,3011490,929.772305403637,"AR"
"California",18.4,39538212,465.372586904031,"CA"
"Colorado",3.2,5773707,554.236645538127,"CO"
"Connecticut",2.5,3605912,693.305882118033,"CT"
"Delaware",0.792,989946,800.043638743932,"DE"
"District of Columbia",1.1,689548,1595.2479015239,"DC"
"Florida",8.2,21538216,380.718625906621,"FL"
"Georgia",5,10713771,466.689086410378,"GA"
"Guam",0.1426,153836,926.961179437843,"GU"
"Hawaii",1,1455274,687.155820828243,"HI"
"Idaho",1.2,1839117,652.487035898205,"ID"
"Illinois",8.4,12813469,655.560176561086,"IL"
"Indiana",3.4,6785442,501.072737781857,"IN"
"Iowa",2.4,3190427,752.250404099514,"IA"
"Kansas",1.5,2937835,510.580070017547,"KS"
"Kentucky",3.9,4506297,865.455605788966,"KY"
"Louisiana",4.3,4657785,923.185591434555,"LA"
"Maine",1.1,1363177,806.938497348473,"ME"
"Maryland",2.7,6177253,437.087488564901,"MD"
"Massachusetts",3.6,7032933,511.877477007104,"MA"
"Michigan",5.2,10077674,515.992083093777,"MI"
"Minnesota",2.7,5706804,473.119455302828,"MN"
"Mississippi",2.3,2961306,776.684341300764,"MS"
"Missouri",3.8,6154889,617.395374636326,"MO"
"Montana",3.3,1084244,3043.59535307551,"MT"
"Nebraska",1.3,1961965,662.601014798939,"NE"
"Nevada",1.7,3104617,547.571568409243,"NV"
"New Hampshire",0.7518,1377524,545.761816128067,"NH"
"New Jersey",5.1,9289039,549.034189650835,"NJ"
"New Mexico",2.6,2117525,1227.8485496039,"NM"
"New York",10.1,20202320,499.9425808521,"NY"
"North Carolina",4.5,10439459,431.056820090007,"NC"
"North Dakota",1.8,779079,2310.42038098832,"ND"
"Northern Mariana Islands",0.0833,47329,1760.02028354709,"MP"
"Ohio",6.6,11799331,559.353746411555,"OH"
"Oklahoma",2.9,3959411,732.43217236099,"OK"
"Oregon",2.3,4237279,542.801170279323,"OR"
"Pennsylvania",8.1,13002788,622.943325692921,"PA"
"Puerto Rico",0.9937,3285874,302.415734748198,"PR"
"Rhode Island",1.1,1097371,1002.39572578463,"RI"
"South Carolina",2.3,5118422,449.357243306629,"SC"
"South Dakota",1.3,886668,1466.16320877713,"SD"
"Tennessee",3.7,6910786,535.394960862628,"TN"
"Texas",14.2,29145459,487.211404013229,"TX"
"Tribal Communities",3,9666058,310.364369839287,"TT"
"US Virgin Islands",0.1483,87146,1701.74190439033,"VI"
"Utah",1.8,3271614,550.187155330672,"UT"
"Vermont",0.8521,643077,1325.03572667037,"VT"
"Virginia",4.5,8631373,521.353902791595,"VA"
"Washington",4,7705267,519.125424206585,"WA"
"West Virginia",2,1793713,1115.0055778154,"WV"
"Wisconsin",2.8,5893713,475.082515894479,"WI"
"Wyoming",2.3,576850,3987.1717084164,"WY"
